,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
489,176,Nathdwara,MAHESH PRATAP SINGH,Bharatiya Janata Party,16940,12472,KALYANSINGH CHOUHAN,Bharatiya Janata Party,Rajasthan,C. P. JOSHI,Indian National Congress
490,29,Nawalgarh,RAVI SAINI,Bharatiya Janata Party,36500,33566,DR. RAJKUMAR SHARMA,Independent,Rajasthan,DR. RAJKUMAR SHARMA,Indian National Congress
491,115,Nawan,VIJAY SINGH,Bharatiya Janata Party,2256,29779,VIJAY SINGH,Bharatiya Janata Party,Rajasthan,MAHENDRA CHOUDHARY,Indian National Congress
492,38,Neem ka Thana,PREM SINGH BAJORE,Bharatiya Janata Party,12615,34202,PREM SINGH BAJOR,Bharatiya Janata Party,Rajasthan,SURESH MODI,Indian National Congress
493,170,Nimbahera,SHRICHAND KRIPLANI,Bharatiya Janata Party,11908,3370,SHRICHAND KRIPLANI,Bharatiya Janata Party,Rajasthan,ANJANA UDAILAL,Indian National Congress
494,95,Niwai ,RAM SAHAY VERMA,Bharatiya Janata Party,43889,5936,HIRA LAL,Bharatiya Janata Party,Rajasthan,PRASHANT BAIRWA,Indian National Congress
495,10,Nohar,ABHISHEK MATORIA,Bharatiya Janata Party,13727,26951,ABHISHEK MATORIA,Bharatiya Janata Party,Rajasthan,AMIT CHACHAN,Indian National Congress
496,18,Nokha,RAMESHWAR DUDI,Indian National Congress,8663,30794,RAMESHWAR LAL DUDI,Indian National Congress,Rajasthan,BIHARILAL,Bharatiya Janata Party
497,125,Osian,BHERA RAM CHOUDHARY,Bharatiya Janata Party,27590,15396,BHAIRA RAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,DIVYA MADERNA,Indian National Congress
498,137,Pachpadra,AMARA RAM,Bharatiya Janata Party,2395,23237,AMRA RAM,Bharatiya Janata Party,Rajasthan,MADAN PRAJAPAT,Indian National Congress
499,118,Pali,BHEEMRAJ BHATI,Independent,19386,13673,GYANCHAND PARAKH,Bharatiya Janata Party,Rajasthan,GYANCHAND PARAKH,Bharatiya Janata Party
500,114,Parbatsar,MAN SINGH KINSARIYA,Bharatiya Janata Party,14485,16298,MANSINGH KINSARIYA,Bharatiya Janata Party,Rajasthan,RAMNIWAS GAWRIYA,Indian National Congress
501,122,Phalodi,MAHESH KUMAR,Indian National Congress,8737,34171,PABBA RAM,Bharatiya Janata Party,Rajasthan,PABBA RAM,Bharatiya Janata Party
502,44,Phulera ,VIDHYADHAR SINGH,Indian National Congress,1132,24297,NIRMAL KUMAWAT,Bharatiya Janata Party,Rajasthan,NIRMAL KUMAWAT,Bharatiya Janata Party
503,25,Pilani ,KAILASH CHAND,Bharatiya Janata Party,13539,13996,SUNDERLAL,Bharatiya Janata Party,Rajasthan,J.P. CHANDELIA,Indian National Congress
504,9,Pilibanga ,VINOD KUMAR,Indian National Congress,278,10198,DROPATI,Bharatiya Janata Party,Rajasthan,DHARMENDRA KUMAR,Bharatiya Janata Party
505,147,Pindwara abu ,LALA RAM GRASIYA,Indian National Congress,26974,30855,SAMARAM GRASIYA,Bharatiya Janata Party,Rajasthan,SAMA RAM GRASIYA,Bharatiya Janata Party
506,187,Pipalda,MAMTA SHARMA,Bharatiya Janata Party,14905,7749,VIDHYASHANKAR NANDWANA,Bharatiya Janata Party,Rajasthan,RAMNARAIN MEENA,Indian National Congress
507,133,Pokaran,PRATAPPURI,Bharatiya Janata Party,872,34444,SHAITAN SINGH,Bharatiya Janata Party,Rajasthan,SHALE MOHAMMAD,Indian National Congress
508,172,Pratapgarh ,HEMANT,Bharatiya Janata Party,16680,31938,NANDLAL MEENA,Bharatiya Janata Party,Rajasthan,RAMLAL,Indian National Congress
509,99,Pushkar,NASIM AKHTAR INSAF,Indian National Congress,9389,41290,SURESH SINGH RAWAT,Bharatiya Janata Party,Rajasthan,SURESH SINGH RAWAT,Bharatiya Janata Party
510,5,Raisingh Nagar,SHYOPAT RAM,Communist Party of India  (Marxist),33671,21238,SONADEVI,National Unionist Zamindara Party,Rajasthan,BALVEER SINGH LUTHRA,Bharatiya Janata Party
511,80,Rajakhera,ASHOK SHARMA,Bharatiya Janata Party,14991,26012,PRADHYUMN SINGH,Indian National Congress,Rajasthan,ROHIT BOHRA,Indian National Congress
512,68,Rajgarh laxmangarh ,VIJAY SAMARTH LAL,Bharatiya Janata Party,30298,8128,GOLMA,National People’s Party,Rajasthan,JOHARI LAL MEENA,Indian National Congress
513,175,Rajsamand,NARAYAN SINGH BHATI,Indian National Congress,24623,30575,KIRAN MAHESHWARI,Bharatiya Janata Party,Rajasthan,KIRAN MAHESHWARI,Bharatiya Janata Party
514,192,Ramganj mandi ,RAMGOPAL,Indian National Congress,12879,36919,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party,Rajasthan,MADAN DILAWAR,Bharatiya Janata Party
515,145,Raniwara,RATAN,Indian National Congress,3405,32652,NARAYAN SINGH DEWAL,Bharatiya Janata Party,Rajasthan,NARAYAN SINGH DEWAL,Bharatiya Janata Party
516,23,Ratangarh,POOSARAM GODARA,Independent,11881,25158,RAJ KUMAR RINWA,Bharatiya Janata Party,Rajasthan,ABHINESH MAHARSHI,Bharatiya Janata Party
517,148,Reodar ,NEERAJ DANGI,Indian National Congress,14604,32244,JAGASI RAM,Bharatiya Janata Party,Rajasthan,JAGASI RAM,Bharatiya Janata Party
518,19,Sadulpur,MANOJ NYANGALI,Bahujan Samaj Party,18084,4826,MANOJ KUMAR,Bahujan Samaj Party,Rajasthan,KRISHNA POONIA,Indian National Congress
519,1,Sadulshahar,GURVEER SINGH BRAR,Bharatiya Janata Party,9676,4808,GURJANT SINGH,Bharatiya Janata Party,Rajasthan,JAGDISH CHANDER,Indian National Congress
520,160,Sagwara ,SHANKARLAL,Bharatiya Janata Party,4582,640,ANITA KATARA,Bharatiya Janata Party,Rajasthan,RAMPRASAD,Bhartiya Tribal Party
521,179,Sahara,ROOP LAL JAT,Bharatiya Janata Party,7006,20756,DR. BALU RAM CHAUDHARY,Bharatiya Janata Party,Rajasthan,KAILASH CHANDRA TRIVEDI,Indian National Congress
522,156,Salumber ,RAGUVIR SINGH,Indian National Congress,21918,36651,AMRIT LAL,Bharatiya Janata Party,Rajasthan,AMRIT LAL MEENA,Bharatiya Janata Party
523,144,Sanchore,DANA RAM CHOUDHARY,Bharatiya Janata Party,25918,24055,SUKHRAM VISHNOI,Indian National Congress,Rajasthan,SUKHRAM VISHNOI,Indian National Congress
524,55,Sanganer,PUSHPENDRA BHARDWAJ,Indian National Congress,35405,65350,GHANSHYAM TIWARI,Bharatiya Janata Party,Rajasthan,ASHOK LAHOTY,Bharatiya Janata Party
525,7,Sangaria,SHABNAM GODARA,Indian National Congress,6538,11601,KRISHAN KADVA,Bharatiya Janata Party,Rajasthan,GURDEEP SINGH,Bharatiya Janata Party
526,188,Sangod,HEERA LAL NAGAR,Bharatiya Janata Party,1868,19232,HEERALAL NAGAR,Bharatiya Janata Party,Rajasthan,BHARAT SINGH KUNDANPUR,Indian National Congress
527,84,Sapotra ,GOLMA,Bharatiya Janata Party,14104,6232,RAMESH,Indian National Congress,Rajasthan,RAMESH CHAND MEENA,Indian National Congress
528,127,Sardarpura,SHAMBHU SINGH,Bharatiya Janata Party,45597,18478,ASHOK GEHLOT,Indian National Congress,Rajasthan,ASHOK GEHLOT,Indian National Congress
529,21,Sardarshahar,ASHOK KUMAR,Bharatiya Janata Party,16816,7057,BHANWARLAL,Indian National Congress,Rajasthan,BHANWARLAL SHARMA,Indian National Congress
530,92,Sawai madhopur,ASHA MEENA,Bharatiya Janata Party,25199,7532,RAJKUMARI DIYAKUMARI,Bharatiya Janata Party,Rajasthan,DANISH ABRAR,Indian National Congress
531,42,Shahpura,MANISH YADAV,Indian National Congress,3855,2397,RAO RAJENDRA SINGH,Bharatiya Janata Party,Rajasthan,ALOK BENIWAL,Independent
532,181,Shahpura,MAHAVEER PRASAD,Indian National Congress,74542,43666,KAILASH CHANDRA MEGHWAL,Bharatiya Janata Party,Rajasthan,KAILASH CHANDRA MEGHWAL,Bharatiya Janata Party
533,134,Sheo,KHANGAR SINGH SODHA,Bharatiya Janata Party,23554,31425,MANVENDRA SINGH,Bharatiya Janata Party,Rajasthan,AMEEN KHAN,Indian National Congress
534,124,Shergarh,BABU SINGH RATHORE,Bharatiya Janata Party,24696,6327,BABU SINGH,Bharatiya Janata Party,Rajasthan,MEENA KANWAR,Indian National Congress
535,17,SHREE DUNGARGARH,MANGALARAM,Indian National Congress,23896,16202,KISHANA RAM,Bharatiya Janata Party,Rajasthan,GIRDHARILAL,Communist Party of India  (Marxist)
536,35,Sikar,RATANLAL JALDHARI,Bharatiya Janata Party,15180,13015,RATAN LAL JALDHARI,Bharatiya Janata Party,Rajasthan,RAJENDRA PAREEK,Indian National Congress
537,87,Sikrai ,VIKRAM BANSIWAL,Bharatiya Janata Party,33783,3699,GEETA VERMA,National People’s Party,Rajasthan,MAMTA BHUPESH,Indian National Congress
538,146,Sirohi,OTARAM DEVASI,Bharatiya Janata Party,10253,24439,OTA RAM,Bharatiya Janata Party,Rajasthan,SANYAM LODHA,Independent
539,138,Siwana,BALARAM,Independent,957,20701,HAMEERSINGH BHAYAL,Bharatiya Janata Party,Rajasthan,HAMEER SINGH BHAYAL,Bharatiya Janata Party
540,117,Sojat ,SHOBHA SOLANKI,Indian National Congress,32398,20756,SANJNA AGARI,Bharatiya Janata Party,Rajasthan,SHOBHA CHAUHAN,Bharatiya Janata Party
541,129,Soorsagar,PROFESSOR AYYUB KHAN,Indian National Congress,5763,20745,SURYAKANTA VYAS,Bharatiya Janata Party,Rajasthan,SURYAKANTA VYAS,Bharatiya Janata Party
542,39,Srimadhopur,JHABAR SINGH KHARRA,Bharatiya Janata Party,11810,7902,JHABAR SINGH KHARRA,Bharatiya Janata Party,Rajasthan,DEEPENDRA SINGH,Indian National Congress
543,24,Sujangarh ,KHEMARAM,Bharatiya Janata Party,38749,13649,KHEMARAM,Bharatiya Janata Party,Rajasthan,MASTER BHANWARLAL MEGHWAL,Indian National Congress
544,121,Sumerpur,RANJU RAMAWAT,Indian National Congress,32932,42643,MADAN RATHORE,Bharatiya Janata Party,Rajasthan,JORARAM KUMAWAT,Bharatiya Janata Party
545,26,Surajgarh,SHARWAN KUMAR S/O GOKAL RAM,Indian National Congress,3425,50219,SANTOSH AHLAWAT,Bharatiya Janata Party,Rajasthan,SUBHASH POONIA S/O LOKRAM POONIA,Bharatiya Janata Party
546,4,Suratgarh,HANUMAN MEEL,Indian National Congress,10235,26779,RAJENDAR SINGH BHADU,Bharatiya Janata Party,Rajasthan,RAMPRATAP KASNIYAN,Bharatiya Janata Party
547,20,Taranagar,RAKESH JANGIR,Bharatiya Janata Party,12555,11136,JAI NARAYAN POONIYA,Bharatiya Janata Party,Rajasthan,NARENDRA BUDANIYA,Indian National Congress
548,64,Thanagazi,HEM SINGH,Independent,29350,3732,HEM SINGH BHADANA,Bharatiya Janata Party,Rajasthan,KANTI PRASAD,Independent
549,59,Tijara,AIMADUDDIN AHMAD KHAN URF DURRU MIAN,Indian National Congress,4457,37994,MASTER MAMAN SINGH YADAV,Bharatiya Janata Party,Rajasthan,SANDEEP KUMAR,Bahujan Samaj Party
550,81,Todabhim ,RAMESH CHAND,Bharatiya Janata Party,73306,7009,GHANSHYAM,Indian National Congress,Rajasthan,PRITHVIRAJ,Indian National Congress
551,96,Tonk,YOONUS KHAN,Bharatiya Janata Party,54179,30343,AJIT SINGH,Bharatiya Janata Party,Rajasthan,SACHIN PILOT,Indian National Congress
552,153,Udaipur,GIRIJA VYAS,Indian National Congress,9307,24608,GULAB CHAND KATARIA,Bharatiya Janata Party,Rajasthan,GULAB CHAND KATARIA,Bharatiya Janata Party
553,152,Udaipur Rural,VIVEK KATARA,Indian National Congress,18707,13764,PHOOL SINGH MEENA,Bharatiya Janata Party,Rajasthan,PHOOL SINGH MEENA,Bharatiya Janata Party
554,30,Udaipurwati,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,5534,11871,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,Rajasthan,RAJENDRASINGH GUDHA,Bahujan Samaj Party
555,155,Vallabh Nagar,M. RANDHIR SINGH BHINDER,Janta Sena Rajasthan,3719,13167,M. RANDHIR SINGH BHINDER,Independent,Rajasthan,GAJENDRA SINGH SHAKTAWAT,Indian National Congress
556,50,Vidhyadhar Nagar,SITARAM AGARWAL,Indian National Congress,31232,37913,NARPAT SINGH RAJVI,Bharatiya Janata Party,Rajasthan,NARPAT SINGH RAJVI,Bharatiya Janata Party
557,41,Viratnagar,KULDEEP DHANKAD,Independent,19367,9398,DR. PHOOLCHAND BHINDA,Bharatiya Janata Party,Rajasthan,INDRAJ SINGH GURJAR,Indian National Congress
558,75,Weir ,RAMSWAROOP KOLI,Bharatiya Janata Party,15283,13423,BAHADUR SINGH,Bharatiya Janata Party,Rajasthan,BHAJAN LAL JATAV,Indian National Congress
559,82,Achampet ,CHIKKUDU VAMSHIKRISHNA,Indian National Congress,9114,0,,,Telangana,GUVVALA BALARAJU,Telangana Rashtra Samithi
560,7,Adilabad,PAYAL SHANKER,Bharatiya Janata Party,26606,0,,,Telangana,JOGU RAMANNA,Telangana Rashtra Samithi
561,97,Alair,BUDIDA BIKSHAMAIAH,Indian National Congress,33086,0,,,Telangana,GONGIDI SUNEETHA,Telangana Rashtra Samithi
562,80,Alampur ,S.A.SAMPATH KUMAR,Indian National Congress,44679,0,,,Telangana,ABRAHAM V.M.,Telangana Rashtra Samithi
563,59,Amberpet  ,G.KISHAN REDDY,Bharatiya Janata Party,1016,0,,,Telangana,KALERU  VENKATESHAM,Telangana Rashtra Samithi
564,36,Andole ,C.DAMODAR RAJANARSIMHA,Indian National Congress,16465,0,,,Telangana,KRANTHI KIRAN CHANTI,Telangana Rashtra Samithi
565,11,Armur,AKULA LALITHA,Indian National Congress,28795,0,,,Telangana,ASHANNAGARI JEEVAN REDDY,Telangana Rashtra Samithi
566,5,Asifabad ,KOVA LAXMI,Telangana Rashtra Samithi,171,0,,,Telangana,ATHRAM SAKKU,Indian National Congress
567,118,Aswaraopeta ,THATI VENKATESWARLU S/O KATTAPPA THATI,Telangana Rashtra Samithi,13117,0,,,Telangana,MECHA NAGESWARA RAO,Telugu Desam
568,69,Bahadurpura,MIR INAYATH ALI BAQRI,Telangana Rashtra Samithi,82518,0,,,Telangana,MOHD. MOAZAM KHAN,All India Majlis-E-Ittehadul Muslimeen
569,19,Balkonda,SUNIL KUMAR MUTHYALA,Bahujan Samaj Party,32408,0,,,Telangana,VEMULA PRASHANTH REDDY,Telangana Rashtra Samithi
570,14,Banswada,KASULA BALARAJU,Indian National Congress,18485,0,,,Telangana,POCHARAM SRINIVAS REDDY (PARIGE),Telangana Rashtra Samithi
571,3,Bellampalli,GADDAM VINOD,Bahujan Samaj Party,11276,0,,,Telangana,DURGAM CHINNAIAH,Telangana Rashtra Samithi
572,119,Bhadrachalam ,TELLAM VENKATA RAO,Telangana Rashtra Samithi,11785,0,,,Telangana,PODEM VEERAIAH,Indian National Congress
573,94,Bhongir,ANIL KUMAR REDDY KUMBAM,Indian National Congress,24063,0,,,Telangana,PAILLA SHEKAR REDDY,Telangana Rashtra Samithi
574,108,Bhupalpalle,GANDRA SATHYANARAYANA RAO(SATHANNA),All India Forward Bloc,15635,0,,,Telangana,GANDRA VENKATA RAMANA REDDY,Indian National Congress
575,8,Boath ,BAPU RAO SOYAM,Indian National Congress,6486,0,,,Telangana,BAPU RAO RATHOD,Telangana Rashtra Samithi
576,12,Bodhan,SUDARSHAN REDDY PODDUTURI,Indian National Congress,8101,0,,,Telangana,SHAKIL AAMIR MOHAMMED,Telangana Rashtra Samithi
577,67,Chandrayangutta ,SHAHEJADI SAYYAD,Bharatiya Janata Party,80264,0,,,Telangana,AKBARUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen
578,66,Charminar ,T UMA MAHENDRA,Bharatiya Janata Party,32586,0,,,Telangana,MUMTAZ AHMED KHAN,All India Majlis-E-Ittehadul Muslimeen
579,2,Chennur ,VENKATESH NETHA BORLAKUNTA,Indian National Congress,28132,0,,,Telangana,BALKA SUMAN,Telangana Rashtra Samithi
580,53,Chevella ,K.S RATNAM,Indian National Congress,33552,0,,,Telangana,KALE YADAIAH,Telangana Rashtra Samithi
581,27,Choppadandi ,MEDIPALLY SATHYAM,Indian National Congress,42127,0,,,Telangana,RAVI SHANKAR SUNKE,Telangana Rashtra Samithi
582,86,Devarakonda ,BALU NAIK NENAVATH,Indian National Congress,38848,0,,,Telangana,RAMAVATH RAVINDRA KUMAR,Telangana Rashtra Samithi
583,76,Devarkadra,PAVAN KUMAR,Indian National Congress,35248,0,,,Telangana,ALLA VENKATESWAR REDDY,Telangana Rashtra Samithi
584,22,Dharmapuri,ADLURI LAXMAN KUMAR,Indian National Congress,441,0,,,Telangana,ESHWAR KOPPULA,Telangana Rashtra Samithi
585,101,Dornakal ,JATOTH RAM CHANDRU NAIK,Indian National Congress,17381,0,,,Telangana,DHARAM SOTH REDYA NAIK,Telangana Rashtra Samithi
586,41,Dubbak,MADDULA NAGESHWAR REDDY,Indian National Congress,62500,0,,,Telangana,SOLIPETA RAMALINGA REDDY,Telangana Rashtra Samithi
587,79,Gadwal,ARUNA D.K,Indian National Congress,28260,0,,,Telangana,BANDLA KRISHNA MOHAN REDDY,Telangana Rashtra Samithi
588,42,Gajwel,VANTERU PRATAP REDDY,Indian National Congress,58290,0,,,Telangana,KALVAKUNTLA CHANDRASHEKAR RAO,Telangana Rashtra Samithi
589,99,Ghanpur (Station),INDIRA SINGAPURAM,Indian National Congress,35790,0,,,Telangana,DR. THATIKONDA RAJAIAH,Telangana Rashtra Samithi
590,65,Goshamahal,PREM SINGH RATHORE,Telangana Rashtra Samithi,17734,0,,,Telangana,T. RAJA SINGH,Bharatiya Janata Party
591,32,Husnabad,CHADHA VENKAT REDDY,Communist Party of India,70530,0,,,Telangana,SATISH KUMAR VODITELA,Telangana Rashtra Samithi
592,31,Huzurabad,KAUSHIK  REDDY PADI,Indian National Congress,43719,0,,,Telangana,EATALA RAJENDAR,Telangana Rashtra Samithi
593,89,Huzurnagar,SANAMPUDI SAIDIREDDY,Telangana Rashtra Samithi,7466,0,,,Telangana,UTTAM KUMAR REDDY NALAMADA,Indian National Congress
594,48,Ibrahimpatnam,MALREDDY RANGA REDDY,Bahujan Samaj Party,376,0,,,Telangana,MANCHIREDDY KISHAN REDDY,Telangana Rashtra Samithi
595,75,Jadcherla,DR. MALLU RAVI,Indian National Congress,45082,0,,,Telangana,CHARLAKOLA LAXMA REDDY,Telangana Rashtra Samithi
596,21,Jagtial ,THATIPARTHI JEEVAN REDDY,Indian National Congress,61185,0,,,Telangana,M.SANJAY KUMAR,Telangana Rashtra Samithi
597,98,Jangoan,LAKSHMAIAH PONNALA,Indian National Congress,29568,0,,,Telangana,MUTHIREDDY YADAGIRI REDDY,Telangana Rashtra Samithi
598,61,Jubilee Hills,P.VISHNUVARDHAN REDDY,Indian National Congress,16004,0,,,Telangana,MAGANTI GOPINATH,Telangana Rashtra Samithi
599,13,Jukkal ,GANGARAM SOUDAGAR,Indian National Congress,35625,0,,,Telangana,HANMANTH SHINDE,Telangana Rashtra Samithi
600,83,Kalwakurthy ,ACHARY TALLOJU,Bharatiya Janata Party,3447,0,,,Telangana,GURKA JAIPAL YADAV,Telangana Rashtra Samithi
601,16,Kamareddy,MOHD. ALI SHABBIR,Indian National Congress,4557,0,,,Telangana,GAMPA GOVARDHAN,Telangana Rashtra Samithi
602,26,Karimnagar ,BANDI SANJAY KUMAR,Bharatiya Janata Party,14974,0,,,Telangana,GANGULA KAMALAKAR,Telangana Rashtra Samithi
603,64,Karwan,AMAR SINGH,Bharatiya Janata Party,50169,0,,,Telangana,KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen
604,60,Khairatabad,CHINTALA RAMA CHANDRA REDDY,Bharatiya Janata Party,28402,0,,,Telangana,DANAM NAGENDER,Telangana Rashtra Samithi
605,112,Khammam,NAMA NAGESWARA RAO,Telugu Desam,10991,0,,,Telangana,AJAY KUMAR PUVVADA,Telangana Rashtra Samithi
606,6,Khanapur ,RAMESH RATHOD,Indian National Congress,20710,0,,,Telangana,AJMERA REKHA,Telangana Rashtra Samithi
607,90,Kodad,PADMAVATHI REDDY NALAMADA,Indian National Congress,756,0,,,Telangana,BOLLAM MALLAIAH YADAV,Telangana Rashtra Samithi
608,72,Kodangal,ANUMULA REVANTH REDDY,Indian National Congress,9319,0,,,Telangana,PATNAM NARENDER REDDY,Telangana Rashtra Samithi
609,85,Kollapur,JUPALLY KRISHNA RAO,Telangana Rashtra Samithi,12543,0,,,Telangana,BEERAM HARSHAVARDHAN REDDY,Indian National Congress
610,20,Koratla,JUVVADI NARSINGA RAO,Indian National Congress,31220,0,,,Telangana,KALVAKUNTLA VIDYASAGAR RAO,Telangana Rashtra Samithi
611,117,Kothagudem ,JALAGAM VENKAT RAO,Telangana Rashtra Samithi,4139,0,,,Telangana,VANAMA VENKATESWARA RAO,Indian National Congress
612,46,Kukatpally,NANDAMURI VENKATA SUHASINI,Telugu Desam,41049,0,,,Telangana,MADHAVARAM KRISHNA RAO,Telangana Rashtra Samithi
613,49,Lal Bahadur Nagar,MUDDA GOWNI RAM MOHAN GOUD,Telangana Rashtra Samithi,17848,0,,,Telangana,DEVI REDDY SUDHEER REDDY,Indian National Congress
614,114,Madhira ,KAMAL RAJU LINGALA,Telangana Rashtra Samithi,3567,0,,,Telangana,BHATTI VIKRAMARKA MALLU,Indian National Congress
615,102,Mahabubabad ,BALARAM NAIK PORIKA,Indian National Congress,13534,0,,,Telangana,BANOTH SHANKAR NAIK,Telangana Rashtra Samithi
616,74,Mahbubnagar,M. CHANDRA SHEKAR,Telugu Desam,57775,0,,,Telangana,V. SRINIVAS GOUD,Telangana Rashtra Samithi
617,50,Maheshwaram,TEEGALA KRISHNA REDDY,Telangana Rashtra Samithi,9227,0,,,Telangana,PATLOLLA SABITHA INDRA REDDY,Indian National Congress
618,77,Makthal,JALANDER REDDY,Independent,48315,0,,,Telangana,CHITTEM RAMMOHAN REDDY,Telangana Rashtra Samithi
619,58,Malakpet,MOHAMMED MUZAFFAR ALI KHAN,Telugu Desam,23512,0,,,Telangana,AHMED BIN ABDULLAH BALALA,All India Majlis-E-Ittehadul Muslimeen
620,44,Malkajgiri,RAMCHANDER RAO NARAPARAJU,Bharatiya Janata Party,73698,0,,,Telangana,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi
621,30,Manakondur ,AREPALLY MOHAN,Indian National Congress,31509,0,,,Telangana,BALAKISHAN RASAMAYI,Telangana Rashtra Samithi
622,4,Mancherial,KOKKIRALA PREMSAGAR RAO,Indian National Congress,4848,0,,,Telangana,NADIPELLI DIWAKAR RAO,Telangana Rashtra Samithi
623,24,Manthani,PUTTA MADHUKAR,Telangana Rashtra Samithi,16230,0,,,Telangana,DUDDILLA SRIDHAR BABU,Indian National Congress
624,34,Medak,AMMAREDDY GARI UPENDER REDDY,Indian National Congress,47983,0,,,Telangana,PADMA DEVENDER REDDY. M,Telangana Rashtra Samithi
625,43,Medchal,KICCHANNAGARI LAXMA REDDY,Indian National Congress,87990,0,,,Telangana,CH. MALLA REDDY,Telangana Rashtra Samithi
626,88,Miryalguda,R. KRISHNAIAH,Indian National Congress,30652,0,,,Telangana,NALLAMOTHU BHASKAR RAO,Telangana Rashtra Samithi
627,10,Mudhole,PADAKANTI RAMADEVI,Bharatiya Janata Party,43331,0,,,Telangana,GADDIGARI VITTAL REDDY,Telangana Rashtra Samithi
628,109,Mulug ,AZMEERA CHANDULAL,Telangana Rashtra Samithi,22671,0,,,Telangana,ANASUYA DANSARI,Indian National Congress
629,93,Munugode,KOOSUKUNTLA PRABHAKAR REDDY,Telangana Rashtra Samithi,22552,0,,,Telangana,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress
630,57,Musheerabad,ANIL KUMAR YADAV M,Indian National Congress,36910,0,,,Telangana,MUTA GOPAL,Telangana Rashtra Samithi
631,87,Nagarjuna Sagar,JANA REDDY KUNDURU,Indian National Congress,7771,0,,,Telangana,NOMULA NARSIMHAIAH,Telangana Rashtra Samithi
632,81,Nagarkurnool,DR. JANARDHAN REDDY NAGAM,Indian National Congress,54354,0,,,Telangana,MARRI JANARDHAN REDDY,Telangana Rashtra Samithi
633,95,Nakrekal ,VEMULA VEERESHAM,Telangana Rashtra Samithi,8259,0,,,Telangana,CHIRUMARTHI LINGAIAH,Indian National Congress
634,92,Nalgonda,KOMATI REDDY VENKAT REDDY,Indian National Congress,23698,0,,,Telangana,KANCHARLA BHUPAL REDDY,Telangana Rashtra Samithi
635,63,Nampalli,MOHAMMED FEROZ KHAN,Indian National Congress,9675,0,,,Telangana,JAFFAR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen
636,35,Narayankhed,SURESH KUMAR SHETKAR,Indian National Congress,58508,0,,,Telangana,MAHA REDDY BHUPAL REDDY,Telangana Rashtra Samithi
637,73,Narayanpet,K.SHIVAKUMAR REDDY,Bahujana Left Party,15187,0,,,Telangana,S.RAJENDER REDDY,Telangana Rashtra Samithi
638,103,Narsampet ,DONTHI MADHAVA REDDY,Indian National Congress,16949,0,,,Telangana,PEDDI SUDARSHAN REDDY,Telangana Rashtra Samithi
639,37,Narsapur,VAKITI SUNITHA,Indian National Congress,38320,0,,,Telangana,CHILUMULA MADAN REDDY,Telangana Rashtra Samithi
640,9,Nirmal,ALLETI MAHESHWAR REDDY,Indian National Congress,9271,0,,,Telangana,ALLOLA INDRAKARAN REDDY,Telangana Rashtra Samithi
641,18,Nizamabad (Rural),REKULAPALLY BHOOPATHI REDDY,Indian National Congress,29646,0,,,Telangana,BAJI REDDY GOVERDHAN,Telangana Rashtra Samithi
642,17,Nizamabad (Urban),TAHER BIN HAMDAN,Indian National Congress,25841,0,,,Telangana,BIGALA GANESH,Telangana Rashtra Samithi
643,113,Palair,TUMMALA NAGESWAR RAO,Telangana Rashtra Samithi,7669,0,,,Telangana,KANDALA UPENDER REDDY,Indian National Congress
644,100,Palakurthi,JANGA RAGAVA REDDY,Indian National Congress,53053,0,,,Telangana,ERRABELLI DAYAKAR RAO,Telangana Rashtra Samithi
645,54,PARGI,T. RAM MOHAN REDDY,Indian National Congress,15841,0,,,Telangana,K.MAHESH REDDY,Telangana Rashtra Samithi
646,104,Parkal,KONDA SURAKHA,Indian National Congress,46519,0,,,Telangana,CHALLA. DHARMA REDDY,Telangana Rashtra Samithi
647,40,Patancheru,KATA SRINIVAS GOUD,Indian National Congress,37699,0,,,Telangana,GUDEM MAHIPAL REDDY,Telangana Rashtra Samithi
648,25,Peddapalle,CHINTHAKUNTA VIJAYA RAMANA RAO,Indian National Congress,8466,0,,,Telangana,MANOHAR REDDY DASARI,Telangana Rashtra Samithi
649,110,Pinapaka ,PAYAM VENKATESWARLU,Telangana Rashtra Samithi,19565,0,,,Telangana,KANTHA RAO REGA,Indian National Congress
650,45,Quthbullapur,KUNA SRISAILAM GOUD,Indian National Congress,41500,0,,,Telangana,K.P VIVEKANAND,Telangana Rashtra Samithi
651,51,Rajendranagar,GANESH RENUKUNTLA,Telugu Desam,58373,0,,,Telangana,TOLKANTI PRAKASH GOUD,Telangana Rashtra Samithi
652,23,Ramagundam,SOMARAPU SATYANARAYANA,Telangana Rashtra Samithi,26419,0,,,Telangana,KORUKANTI CHANDAR PATEL,All India Forward Bloc
653,62,Sanath Nagar,KUNA VENKATESH GOUD,Telugu Desam,30651,0,,,Telangana,TALASANI SRINIVAS YADAV,Telangana Rashtra Samithi
